Iteration,Generation,Max Vehicles,Fitness,Selection,Crossover,Mutation
0,1,4,1127.362224565802,fps,vrp_xo(cycle_xo),swap_mutation
0,2,4,1127.2710268263234,fps,vrp_xo(cycle_xo),swap_mutation
0,3,5,1126.006794543507,fps,vrp_xo(cycle_xo),swap_mutation
0,4,6,1181.1455327232572,fps,vrp_xo(cycle_xo),swap_mutation
0,5,6,1181.1455327232572,fps,vrp_xo(cycle_xo),swap_mutation
0,6,7,1208.1451830887006,fps,vrp_xo(cycle_xo),swap_mutation
0,7,7,1208.1451830887006,fps,vrp_xo(cycle_xo),swap_mutation
0,8,6,1265.7464690509676,fps,vrp_xo(cycle_xo),swap_mutation
0,9,7,1251.5165227993034,fps,vrp_xo(cycle_xo),swap_mutation
0,10,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,11,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,12,7,1251.5165227993034,fps,vrp_xo(cycle_xo),swap_mutation
0,13,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,14,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,15,7,1251.5165227993034,fps,vrp_xo(cycle_xo),swap_mutation
0,16,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,17,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,18,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,19,7,1278.017935432933,fps,vrp_xo(cycle_xo),swap_mutation
0,20,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,21,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,22,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,23,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,24,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,25,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,26,7,1251.5165227993034,fps,vrp_xo(cycle_xo),swap_mutation
0,27,7,1251.5165227993034,fps,vrp_xo(cycle_xo),swap_mutation
0,28,7,1251.5165227993034,fps,vrp_xo(cycle_xo),swap_mutation
0,29,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,30,7,1251.5165227993034,fps,vrp_xo(cycle_xo),swap_mutation
0,31,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,32,7,1251.5165227993034,fps,vrp_xo(cycle_xo),swap_mutation
0,33,7,1251.5165227993034,fps,vrp_xo(cycle_xo),swap_mutation
0,34,7,1278.017935432933,fps,vrp_xo(cycle_xo),swap_mutation
0,35,7,1251.5165227993034,fps,vrp_xo(cycle_xo),swap_mutation
0,36,7,1278.1775314770214,fps,vrp_xo(cycle_xo),swap_mutation
0,37,7,1251.5165227993034,fps,vrp_xo(cycle_xo),swap_mutation
